UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
100654,1,999,"R",148,"R",149,"R",2727,"R",3435,"R",4,"R",8,"R",9,"R",18,"R",17,"R",13,"R",171,"R",376,"R",2,"R",1,"R",3078,"R",4000,"R",297,"R",6162,"R",12,"R",27,"R",30,"R",547,"R",3,"R",7078
100654,2,  1,"R",78,"R",90,"R",2483,"R",2753,"R",4,"R",4,"R",3,"R",6,"R",13,"R",9,"R",64,"R",85,"Z",0,"Z",0,"R",2645,"R",2947,"R",168,"R",5236,"R",8,"R",9,"R",22,"R",149,"Z",0,"R",5592
100654,4,  3,"R",70,"R",59,"R",244,"R",682,"Z",0,"R",4,"R",6,"R",12,"R",4,"R",4,"R",107,"R",291,"R",2,"R",1,"R",433,"R",1053,"R",129,"R",926,"R",4,"R",18,"R",8,"R",398,"R",3,"R",1486
100663,1,999,"R",648,"R",481,"R",1428,"R",3813,"R",43,"R",56,"R",322,"R",402,"R",90,"R",155,"R",5294,"R",7060,"R",172,"R",216,"R",7997,"R",12183,"R",1129,"R",5241,"R",99,"R",724,"R",245,"R",12354,"R",388,"R",20180
100663,2,  1,"R",184,"R",167,"R",1230,"R",3086,"R",28,"R",32,"R",194,"R",267,"R",58,"R",105,"R",3680,"R",4498,"R",142,"R",175,"R",5516,"R",8330,"R",351,"R",4316,"R",60,"R",461,"R",163,"R",8178,"R",317,"R",13846
100663,3,  2,"R",1,"Z",0,"R",19,"R",51,"R",5,"R",4,"R",46,"R",53,"R",5,"R",7,"R",472,"R",323,"R",5,"R",4,"R",553,"R",442,"R",1,"R",70,"R",9,"R",99,"R",12,"R",795,"R",9,"R",995
100663,4,  3,"R",463,"R",314,"R",179,"R",676,"R",10,"R",20,"R",82,"R",82,"R",27,"R",43,"R",1142,"R",2239,"R",25,"R",37,"R",1928,"R",3411,"R",777,"R",855,"R",30,"R",164,"R",70,"R",3381,"R",62,"R",5339
100690,1,999,"Z",0,"Z",0,"R",148,"R",191,"Z",0,"R",1,"R",3,"R",1,"R",12,"R",19,"R",336,"R",258,"R",37,"R",44,"R",536,"R",514,"Z",0,"R",339,"R",1,"R",4,"R",31,"R",594,"R",81,"R",1050
100690,2,  1,"Z",0,"Z",0,"R",76,"R",92,"Z",0,"Z",0,"R",1,"Z",0,"R",9,"R",12,"R",176,"R",149,"R",26,"R",20,"R",288,"R",273,"Z",0,"R",168,"Z",0,"R",1,"R",21,"R",325,"R",46,"R",561
100690,3,  2,"Z",0,"Z",0,"R",32,"R",13,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",34,"R",4,"R",3,"R",2,"R",70,"R",19,"Z",0,"R",45,"Z",0,"R",1,"Z",0,"R",38,"R",5,"R",89
